SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400073,2024-10-24T00:00:00,WAS vs. BOS,L,21.866666666666667,1,7,0.143,0,5,0.0,0,0,0.0,1,4,5,1,0,0,2,0,2,0,2,-24,15.5,0,0,12.0,1,14,14,14,63,64,62,64,52,29,52,45,48,45,38,33,41,47,55,37,13,1,24,54,66,60,62,11,1,66,1,21:52,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400090,2024-10-26T00:00:00,WAS vs. CLE,L,24.971666666666668,4,10,0.4,2,6,0.333,2,2,1.0,2,4,6,1,0,1,2,0,3,2,12,-18,29.7,0,0,27.0,1,14,14,14,49,35,44,32,18,15,25,21,29,1,21,33,30,47,55,7,13,1,43,24,30,49,32,11,1,32,1,24:58,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400103,2024-10-28T00:00:00,WAS @ ATL,W,27.011666666666667,3,11,0.273,1,5,0.2,0,0,0.0,4,5,9,1,1,1,2,1,4,1,7,-11,27.3,0,0,24.0,1,1,1,1,36,47,37,53,32,29,44,45,48,45,3,23,11,47,34,7,13,40,54,38,58,38,38,11,1,44,1,27:01,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400121,2024-10-30T00:00:00,WAS vs. ATL,W,23.116666666666667,3,9,0.333,2,5,0.4,3,4,0.75,0,5,5,2,1,1,4,1,2,3,11,17,34.0,0,0,30.0,1,1,1,1,60,47,54,39,18,29,23,10,11,20,56,23,41,29,34,7,2,40,24,7,35,1,21,11,1,22,1,23:07,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400147,2024-11-02T00:00:00,WAS @ MIA,L,27.0,7,11,0.636,1,4,0.25,2,2,1.0,1,5,6,3,1,0,4,0,2,1,17,-9,39.7,0,0,35.0,1,14,14,14,37,7,37,4,32,41,36,21,29,1,38,23,30,14,34,37,2,1,24,38,17,32,10,11,1,14,1,27:00,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400155,2024-11-04T00:00:00,WAS vs. GSW,L,26.583333333333332,3,10,0.3,0,4,0.0,4,6,0.667,3,8,11,2,1,0,3,0,3,3,10,-11,34.2,1,0,29.0,1,14,14,14,38,47,44,48,52,41,52,4,3,26,11,6,4,29,34,37,5,1,43,7,43,38,20,1,1,26,1,26:35,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400191,2024-11-08T00:00:00,WAS @ MEM,L,24.516666666666666,3,11,0.273,0,5,0.0,2,2,1.0,2,3,5,5,4,1,1,2,4,2,8,-7,23.5,0,0,22.0,1,14,14,14,55,47,37,53,52,29,52,21,29,1,21,46,41,3,2,7,32,60,54,24,53,27,47,11,1,50,1,24:31,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400204,2024-11-10T00:00:00,WAS @ ORL,L,24.85,3,10,0.3,2,6,0.333,3,4,0.75,1,2,3,4,1,1,2,0,3,3,11,-19,28.6,0,0,26.0,1,14,14,14,50,47,44,48,18,15,25,10,11,20,38,57,58,10,34,7,13,1,43,7,35,53,34,11,1,38,1,24:51,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400213,2024-11-11T00:00:00,WAS @ HOU,L,27.933333333333334,2,9,0.222,0,3,0.0,1,4,0.25,2,4,6,1,0,0,2,0,3,2,5,-12,19.7,0,0,16.0,1,14,14,14,27,60,54,60,52,56,52,37,11,44,21,33,30,47,55,37,13,1,43,24,63,40,56,11,1,59,1,27:56,1,2024-25
2024-25,1642259,Alex Sarr,Alex,1610612764,WAS,Washington Wizards,0022400224,2024-11-13T00:00:00,WAS @ SAS,L,25.533333333333335,6,14,0.429,0,5,0.0,0,0,0.0,1,1,2,2,2,1,1,1,2,0,12,-17,21.4,0,0,20.0,1,14,14,14,45,19,18,25,52,29,52,45,48,45,38,62,65,29,19,7,32,40,24,54,30,47,53,11,1,54,1,25:32,1,2024-25
