SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100008,2021-10-20T00:00:00,HOU @ MIN,L,18.576666666666668,3,4,0.75,0,0,0.0,5,5,1.0,3,3,6,2,3,3,0,0,4,4,11,-8,27.2,0,0,25.0,1,19,19,19,43,33,56,2,25,58,25,3,14,1,8,33,20,37,15,1,45,1,45,18,24,44,23,9,1,23,1,18:35,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100023,2021-10-22T00:00:00,HOU vs. OKC,W,17.783333333333335,3,5,0.6,0,2,0.0,0,1,0.0,1,3,4,1,6,1,2,0,4,1,6,14,15.3,0,0,17.0,1,1,1,1,47,33,48,20,25,16,25,60,60,60,44,33,41,50,1,17,5,1,45,60,49,3,56,9,1,50,1,17:47,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100037,2021-10-24T00:00:00,HOU vs. BOS,L,19.433333333333334,1,5,0.2,0,1,0.0,5,6,0.833,0,4,4,4,1,3,1,1,5,4,7,-3,28.8,0,0,23.0,1,19,19,19,40,63,48,67,25,35,25,3,5,22,65,20,41,9,39,1,21,39,62,18,46,31,18,9,1,29,1,19:26,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100052,2021-10-26T00:00:00,HOU @ DAL,L,14.416666666666666,1,4,0.25,1,2,0.5,2,4,0.5,0,1,1,2,1,2,0,1,1,4,5,4,14.2,0,0,13.0,1,19,19,19,62,63,56,66,5,16,12,30,19,41,65,61,69,37,39,6,45,39,4,18,57,14,61,9,1,62,1,14:25,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100068,2021-10-28T00:00:00,HOU vs. UTA,L,23.933333333333334,5,12,0.417,1,1,1.0,3,4,0.75,2,3,5,0,1,3,0,1,3,4,14,-8,28.0,0,0,26.0,1,19,19,19,19,10,7,46,5,35,1,18,19,27,19,33,32,65,39,1,45,39,30,18,11,44,21,9,1,15,1,23:56,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100093,2021-10-31T00:00:00,HOU @ LAL,L,20.25,3,7,0.429,0,1,0.0,5,6,0.833,2,5,7,2,4,3,0,0,3,5,11,-3,27.4,0,0,26.0,1,19,19,19,38,33,29,43,25,35,25,3,5,22,19,12,16,37,6,1,45,1,30,9,24,31,22,9,1,15,1,20:15,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100107,2021-11-02T00:00:00,HOU @ LAL,L,25.75,3,7,0.429,0,1,0.0,0,0,0.0,2,2,4,4,5,1,0,0,4,3,6,-2,14.8,0,0,16.0,1,19,19,19,13,33,29,43,25,35,25,60,63,60,19,47,41,9,3,17,45,1,45,34,49,29,58,9,1,53,1,25:45,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100122,2021-11-04T00:00:00,HOU @ PHX,L,22.553333333333335,4,10,0.4,1,2,0.5,1,2,0.5,1,3,4,5,2,1,0,2,5,4,10,-19,23.3,0,0,22.0,1,19,19,19,25,22,14,47,5,16,12,47,39,41,44,33,41,4,24,17,45,65,62,18,29,68,34,9,1,31,1,22:33,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100133,2021-11-06T00:00:00,HOU @ DEN,L,13.883333333333333,3,4,0.75,1,1,1.0,2,2,1.0,0,4,4,3,0,0,1,0,4,1,9,8,21.3,0,0,19.0,1,19,19,19,65,33,56,2,5,35,1,30,39,1,65,20,41,23,64,39,21,1,45,60,36,10,42,9,1,40,1,13:53,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100145,2021-11-07T00:00:00,HOU @ GSW,L,16.433333333333334,3,4,0.75,1,1,1.0,5,12,0.417,1,4,5,1,3,0,1,0,1,7,12,-4,19.5,0,0,21.0,1,19,19,19,52,33,56,2,5,35,1,3,1,58,44,20,32,50,15,39,21,1,4,1,20,33,44,9,1,38,1,16:26,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100177,2021-11-12T00:00:00,HOU vs. POR,L,18.666666666666668,4,6,0.667,1,1,1.0,3,4,0.75,1,3,4,0,1,0,1,0,2,6,12,-18,18.8,0,0,19.0,1,19,19,19,42,22,37,8,5,35,1,18,19,27,44,33,41,65,39,39,21,1,12,4,20,66,47,9,1,40,1,18:40,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100195,2021-11-14T00:00:00,HOU vs. PHX,L,21.616666666666667,4,6,0.667,0,1,0.0,2,3,0.667,2,8,10,4,2,0,1,0,2,3,10,-1,29.0,1,0,26.0,1,19,19,19,31,22,37,8,25,35,25,30,32,31,19,4,7,9,24,39,21,1,12,34,29,27,17,1,1,15,1,21:37,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100205,2021-11-15T00:00:00,HOU @ MEM,L,17.733333333333334,3,9,0.333,0,2,0.0,3,5,0.6,3,2,5,1,0,1,1,3,3,5,9,-22,22.5,0,0,19.0,1,19,19,19,48,33,20,57,25,16,25,18,14,38,8,47,32,50,64,17,21,69,30,9,36,69,37,9,1,40,1,17:44,1,2021-22
2021-22,1630578,Alperen Sengun,Alperen,1610612745,HOU,Houston Rockets,0022100221,2021-11-17T00:00:00,HOU @ OKC,L,5.033333333333333,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,1,0,0,0,-5,1.4,0,0,2.0,1,19,19,19,72,68,69,68,25,58,25,60,63,60,19,68,61,65,39,39,45,39,1,70,71,36,72,9,1,72,1,5:02,1,2021-22
