SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700003,2017-10-18T00:00:00,DET vs. CHA,W,22.35,3,9,0.333,0,0,0.0,2,2,1.0,5,8,13,4,0,1,2,0,3,3,8,8,38.6,0,0,31.0,1,1,1,1,77,69,50,66,1,12,1,46,61,1,33,57,60,20,71,27,22,1,25,50,68,23,53,63,1,59,1,22:21,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700020,2017-10-20T00:00:00,DET @ WAS,L,26.366666666666667,4,9,0.444,0,0,0.0,1,1,1.0,6,6,12,2,1,1,0,0,6,1,9,-7,28.4,0,0,25.0,1,38,38,38,70,57,50,57,1,12,1,58,74,1,24,71,65,41,54,27,61,1,76,71,67,52,73,63,1,74,1,26:22,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700030,2017-10-21T00:00:00,DET @ NYK,W,38.31666666666667,9,11,0.818,0,0,0.0,3,3,1.0,4,8,12,1,5,1,1,0,3,6,21,7,37.9,1,0,38.0,1,1,1,1,11,7,37,3,1,12,1,29,53,1,48,57,65,56,7,27,38,1,25,13,13,26,57,1,1,44,1,38:19,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700041,2017-10-23T00:00:00,DET vs. PHI,L,38.18333333333333,5,9,0.556,0,0,0.0,4,6,0.667,5,9,14,1,1,4,1,0,5,7,14,-11,46.3,1,0,39.0,1,38,38,38,12,40,50,33,1,12,1,19,23,31,33,52,54,56,54,3,38,1,67,6,39,58,34,1,1,39,1,38:11,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700056,2017-10-25T00:00:00,DET vs. MIN,W,27.866666666666667,6,10,0.6,0,0,0.0,3,6,0.5,7,8,15,4,5,2,1,1,4,5,15,4,43.0,1,0,40.0,1,1,1,1,65,31,43,25,1,12,1,29,23,44,12,57,43,20,7,18,38,40,45,22,32,30,42,1,1,36,1,27:52,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700084,2017-10-28T00:00:00,DET @ LAC,W,33.93333333333333,7,10,0.7,0,0,0.0,1,2,0.5,4,13,17,1,3,2,3,0,2,3,15,12,48.9,1,0,43.0,1,1,1,1,42,23,43,13,1,12,1,58,61,44,48,17,26,56,21,18,7,1,8,50,32,12,30,1,1,31,1,33:56,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700091,2017-10-29T00:00:00,DET @ GSW,W,40.55,4,17,0.235,0,0,0.0,0,0,0.0,8,10,18,5,4,5,0,3,2,0,8,1,48.1,0,0,41.0,1,1,1,1,5,57,3,75,1,12,1,69,76,69,5,39,20,11,13,1,61,73,8,77,68,36,32,63,1,34,1,40:33,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700104,2017-10-31T00:00:00,DET @ LAL,L,35.06666666666667,5,9,0.556,0,0,0.0,0,0,0.0,4,8,12,5,0,1,0,1,1,3,10,-10,34.9,1,0,29.0,1,38,38,38,36,40,50,33,1,12,1,69,76,69,48,57,65,11,71,27,61,40,3,50,62,56,61,1,1,65,2,35:04,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700119,2017-11-03T00:00:00,DET vs. MIL,W,27.75,5,7,0.714,0,0,0.0,14,16,0.875,2,12,14,0,0,1,2,1,2,9,24,-8,49.8,1,0,44.0,1,1,1,1,67,40,68,11,1,12,1,1,1,11,66,27,54,73,71,27,22,40,8,2,6,54,28,1,1,28,1,27:45,1,2017-18
2017-18,203083,Andre Drummond,Andre,1610612765,DET,Detroit Pistons,0021700132,2017-11-04T00:00:00,DET vs. SAC,W,36.35,7,10,0.7,0,0,0.0,2,4,0.5,5,14,19,4,2,3,1,0,4,4,16,8,54.8,1,0,47.0,1,1,1,1,29,23,43,13,1,12,1,46,39,44,33,12,18,20,40,10,38,1,45,36,29,23,18,1,1,18,1,36:21,1,2017-18
