SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700005,2017-10-18T00:00:00,MIA @ ORL,L,5.693333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0,3,0.0,0,0,0.0,1,35,35,35,64,58,61,58,1,7,1,48,51,48,54,66,66,41,43,24,28,48,30,62,64,24,68,8,1,68,1,5:42,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700059,2017-10-25T00:00:00,MIA vs. SAS,L,19.583333333333332,2,6,0.333,0,0,0.0,0,0,0.0,1,7,8,0,0,0,1,1,3,0,4,-12,16.6,0,0,14.0,1,35,35,35,35,34,18,46,1,7,1,48,51,48,32,9,13,41,43,24,12,48,43,62,44,58,35,8,1,40,1,19:35,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700078,2017-10-28T00:00:00,MIA vs. BOS,L,24.31,2,4,0.5,0,0,0.0,2,2,1.0,1,2,3,0,1,1,1,0,3,2,6,-9,14.6,0,0,13.0,1,35,35,35,23,34,39,31,1,7,1,21,25,1,32,48,51,41,18,7,12,1,43,28,30,52,43,8,1,43,1,24:19,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700093,2017-10-30T00:00:00,MIA vs. MIN,L,31.188333333333333,5,9,0.556,0,0,0.0,3,6,0.5,10,3,13,0,1,0,0,0,3,3,13,-16,27.6,1,0,26.0,1,35,35,35,5,6,5,29,1,7,1,12,7,36,1,34,3,41,18,24,28,1,43,17,11,63,13,1,1,10,1,31:11,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700110,2017-11-01T00:00:00,MIA vs. CHI,W,13.066666666666666,1,2,0.5,0,0,0.0,2,2,1.0,0,4,4,0,0,2,0,0,0,1,4,8,14.8,0,0,12.0,1,1,1,1,57,48,56,31,1,7,1,21,25,1,54,21,43,41,43,3,28,1,1,45,44,18,42,8,1,47,2,13:04,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700127,2017-11-03T00:00:00,MIA @ DEN,L,3.5166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,6,1.2,0,0,1.0,1,35,35,35,68,58,65,58,1,7,1,48,51,48,54,57,62,41,43,24,28,1,1,28,64,21,66,8,1,67,1,3:31,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700137,2017-11-05T00:00:00,MIA @ LAC,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-5,0.0,0,0,0.0,1,1,1,1,69,58,65,58,1,7,1,48,51,48,54,66,66,41,43,24,28,1,13,62,64,41,68,8,1,68,1,1:00,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700148,2017-11-06T00:00:00,MIA @ GSW,L,13.25,1,1,1.0,0,0,0.0,1,1,1.0,2,4,6,0,1,1,2,0,0,1,3,-3,18.2,0,0,15.0,1,35,35,35,56,48,61,1,1,7,1,36,47,1,16,21,24,41,18,7,2,1,1,45,53,39,31,8,1,33,1,13:15,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700218,2017-11-17T00:00:00,MIA @ WAS,W,4.133333333333334,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,0,0,1,1,-7,1.2,0,0,2.0,1,1,1,1,66,58,65,58,1,7,1,36,25,36,54,57,62,41,18,24,28,1,1,45,61,47,66,8,1,65,1,4:08,1,2017-18
2017-18,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021700235,2017-11-19T00:00:00,MIA vs. IND,L,7.7,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,4,-14,4.0,0,0,4.0,1,35,35,35,61,34,49,19,1,7,1,48,51,48,54,66,66,41,43,24,28,1,13,45,44,62,62,8,1,61,1,7:42,1,2017-18
