SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700004,2017-10-18T00:00:00,IND vs. BKN,W,19.216666666666665,7,7,1.0,0,0,0.0,2,3,0.667,4,3,7,1,1,0,0,0,3,3,16,-4,24.9,0,0,24.0,1,1,1,1,59,10,46,1,14,28,14,29,32,36,5,51,42,45,41,33,27,1,34,25,17,44,37,16,1,33,1,19:13,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700018,2017-10-20T00:00:00,IND vs. POR,L,28.94,1,5,0.2,0,1,0.0,1,4,0.25,2,6,8,1,3,0,1,0,4,2,3,-18,14.1,0,0,14.0,1,46,46,46,18,69,61,67,14,11,14,46,14,58,33,26,30,45,11,33,5,1,47,42,72,72,65,16,1,65,1,28:56,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700029,2017-10-21T00:00:00,IND @ MIA,L,30.366666666666667,6,10,0.6,0,1,0.0,6,8,0.75,3,9,12,2,2,1,1,2,4,8,18,2,39.4,1,0,36.0,1,46,46,46,12,17,24,23,14,11,14,3,3,28,12,7,6,25,23,7,5,65,47,1,8,29,4,1,1,4,1,30:22,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700052,2017-10-24T00:00:00,IND @ MIN,W,25.366666666666667,7,7,1.0,0,0,0.0,1,2,0.5,3,8,11,5,3,0,0,0,3,3,15,9,32.7,1,0,31.0,1,1,1,1,30,10,46,1,14,28,14,46,43,44,12,12,11,3,11,33,27,1,34,25,19,17,16,1,1,14,2,25:22,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700060,2017-10-25T00:00:00,IND @ OKC,L,18.733333333333334,1,9,0.111,0,0,0.0,2,2,1.0,8,3,11,2,1,0,0,2,5,1,4,-11,19.2,0,0,17.0,1,46,46,46,63,69,35,74,14,28,14,29,43,1,1,51,11,25,41,33,27,65,61,55,67,64,56,16,1,57,1,18:44,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700086,2017-10-29T00:00:00,IND vs. SAS,W,32.71666666666667,9,9,1.0,1,1,1.0,3,4,0.75,2,10,12,2,1,1,1,0,3,3,22,22,44.4,1,0,41.0,1,1,1,1,8,3,35,1,1,11,1,20,14,28,33,5,6,25,41,7,5,1,34,25,3,3,2,1,1,2,1,32:43,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700101,2017-10-31T00:00:00,IND vs. SAC,W,25.116666666666667,5,6,0.833,0,0,0.0,2,3,0.667,2,14,16,5,4,0,0,0,2,2,12,27,34.7,1,0,33.0,1,1,1,1,32,26,55,5,14,28,14,29,32,36,33,1,1,3,3,33,27,1,12,42,32,1,11,1,1,8,2,25:07,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700106,2017-11-01T00:00:00,IND @ CLE,W,35.25,6,15,0.4,0,0,0.0,3,4,0.75,1,11,12,6,3,0,1,1,3,5,15,18,38.4,1,0,35.0,1,1,1,1,3,17,2,50,14,28,14,20,14,28,50,3,6,1,11,33,5,39,34,8,19,6,6,1,1,5,2,35:15,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700121,2017-11-03T00:00:00,IND @ PHI,L,23.583333333333332,6,9,0.667,0,0,0.0,2,4,0.5,1,5,6,3,2,0,0,1,6,2,14,-17,23.7,0,0,23.0,1,46,46,46,43,17,35,13,14,28,14,29,14,44,50,37,49,10,23,33,27,39,73,42,24,71,40,16,1,36,1,23:35,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700142,2017-11-05T00:00:00,IND @ NYK,L,29.348333333333333,6,9,0.667,0,0,0.0,4,4,1.0,2,6,8,3,3,0,0,1,2,2,16,4,27.1,0,0,27.0,1,46,46,46,16,17,35,13,14,28,14,8,14,1,33,26,30,10,11,33,27,39,12,42,17,26,27,16,1,26,1,29:21,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700171,2017-11-10T00:00:00,IND @ CHI,W,26.333333333333332,2,4,0.5,0,1,0.0,4,6,0.667,3,6,9,1,3,0,0,0,3,5,8,8,17.3,0,0,18.0,1,1,1,1,29,56,69,37,14,11,14,8,6,36,12,26,22,45,11,33,27,1,34,8,49,20,58,16,1,53,1,26:20,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700190,2017-11-12T00:00:00,IND vs. HOU,L,23.016666666666666,7,10,0.7,1,1,1.0,2,2,1.0,3,2,5,2,2,1,0,1,1,4,17,-4,27.0,0,0,27.0,1,46,46,46,44,10,24,10,1,11,1,29,43,1,12,64,55,25,23,7,27,39,3,16,11,44,28,16,1,26,1,23:01,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700208,2017-11-15T00:00:00,IND @ MEM,W,24.066666666666666,6,10,0.6,0,0,0.0,1,1,1.0,0,6,6,4,3,0,0,0,5,1,13,0,23.2,0,0,23.0,1,1,1,1,38,17,24,23,14,28,14,46,56,1,66,26,49,7,11,33,27,1,61,55,29,34,42,16,1,36,1,24:04,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700217,2017-11-17T00:00:00,IND vs. DET,W,24.333333333333332,4,11,0.364,0,1,0.0,4,4,1.0,4,6,10,0,1,1,0,2,2,2,12,17,26.0,1,0,24.0,1,1,1,1,35,36,16,57,14,11,14,8,14,1,5,26,15,67,41,7,27,65,12,42,32,7,33,1,1,33,1,24:20,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700235,2017-11-19T00:00:00,IND @ MIA,W,18.7,4,7,0.571,0,0,0.0,0,0,0.0,3,7,10,2,0,0,1,0,0,1,8,-2,26.0,0,0,22.0,1,1,1,1,64,36,46,29,14,28,14,59,60,59,12,19,15,25,64,33,5,1,1,55,49,41,33,16,1,40,1,18:42,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700243,2017-11-20T00:00:00,IND @ ORL,W,20.31,3,7,0.429,1,1,1.0,3,4,0.75,2,2,4,1,3,0,0,1,5,2,10,2,13.3,0,0,16.0,1,1,1,1,53,49,46,47,1,11,1,20,14,28,33,64,62,45,11,33,27,39,61,42,39,29,68,16,1,59,1,20:19,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700271,2017-11-24T00:00:00,IND vs. TOR,W,26.45,2,10,0.2,0,1,0.0,9,12,0.75,3,3,6,1,2,1,1,0,2,6,13,-13,25.7,0,0,24.0,1,1,1,1,28,56,24,67,14,11,14,1,1,28,12,51,49,45,23,7,5,1,12,4,29,68,35,16,1,33,1,26:27,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700281,2017-11-25T00:00:00,IND vs. BOS,L,30.466666666666665,5,13,0.385,1,2,0.5,6,6,1.0,4,3,7,1,1,1,0,0,3,4,17,-15,28.9,0,0,28.0,1,46,46,46,11,26,5,55,1,1,8,3,6,1,5,51,42,45,41,7,27,1,34,16,11,70,22,16,1,23,1,30:28,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700290,2017-11-27T00:00:00,IND vs. ORL,W,26.733333333333334,5,7,0.714,1,1,1.0,8,9,0.889,3,5,8,5,2,0,0,1,2,6,19,10,34.1,0,0,33.0,1,1,1,1,26,26,46,9,1,11,1,2,2,23,12,37,30,3,23,33,27,39,12,4,6,16,12,16,1,8,1,26:44,1,2017-18
2017-18,1627734,Domantas Sabonis,Domantas,1610612754,IND,Indiana Pacers,0021700308,2017-11-29T00:00:00,IND @ HOU,L,19.733333333333334,2,4,0.5,0,0,0.0,0,0,0.0,1,6,7,0,1,0,1,0,4,1,4,-13,14.4,0,0,13.0,1,46,46,46,58,56,69,37,14,28,14,59,60,59,50,26,42,67,41,33,5,1,47,55,67,68,64,16,1,67,1,19:44,1,2017-18
