SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400072,2024-10-23T00:00:00,POR vs. GSW,L,12.583333333333334,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,1,0,1,1,2,-9,9.4,0,0,8.0,1,30,30,30,54,45,52,31,14,37,14,31,36,31,63,52,64,42,16,6,32,1,6,30,56,51,61,9,1,60,1,12:35,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400086,2024-10-25T00:00:00,POR vs. NOP,L,14.43,1,1,1.0,0,0,0.0,2,3,0.667,2,4,6,0,2,0,4,0,3,2,4,0,21.2,0,0,18.0,1,30,30,30,47,45,63,1,14,37,14,8,13,14,37,30,39,42,8,30,2,1,29,13,35,32,33,9,1,34,1,14:26,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400099,2024-10-27T00:00:00,POR vs. NOP,W,13.15,4,6,0.667,0,0,0.0,1,1,1.0,6,3,9,0,0,0,2,1,3,2,9,6,25.8,0,0,22.0,1,1,1,1,52,13,19,14,14,37,14,21,32,1,9,41,21,42,50,30,18,50,29,13,18,16,29,9,1,28,1,13:09,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400112,2024-10-28T00:00:00,POR @ SAC,L,11.983333333333333,1,2,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,0,2,2,2,3,12.2,0,0,10.0,1,30,30,30,57,45,52,31,14,37,14,31,36,31,51,21,39,42,50,30,32,1,17,13,56,24,55,9,1,54,1,11:59,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400127,2024-10-30T00:00:00,POR @ LAC,W,11.13,3,5,0.6,1,1,1.0,0,0,0.0,3,3,6,0,1,1,1,1,4,0,7,9,19.2,0,0,18.0,1,1,1,1,60,21,26,20,2,9,1,31,36,31,28,41,39,42,16,6,32,50,44,43,24,11,37,9,1,34,1,11:08,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400140,2024-11-01T00:00:00,POR vs. OKC,L,12.54,1,3,0.333,0,0,0.0,1,2,0.5,3,4,7,0,0,0,1,1,3,1,3,-1,14.4,0,0,12.0,1,30,30,30,55,45,45,53,14,37,14,21,19,20,28,30,30,42,50,30,32,50,29,30,51,35,45,9,1,47,1,12:32,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400149,2024-11-02T00:00:00,POR @ PHX,L,13.7,1,3,0.333,0,1,0.0,1,2,0.5,2,2,4,0,1,0,1,0,2,1,3,-16,9.8,0,0,9.0,1,30,30,30,49,45,45,53,14,9,14,21,19,20,37,52,52,42,16,30,32,1,17,30,51,63,60,9,1,58,1,13:42,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400164,2024-11-04T00:00:00,POR @ NOP,W,16.15,1,1,1.0,0,0,0.0,2,2,1.0,0,3,3,0,2,0,3,0,4,2,4,9,14.6,0,0,13.0,1,1,1,1,43,45,63,1,14,37,14,8,19,1,63,41,56,42,8,30,5,1,44,13,35,11,44,9,1,42,1,16:09,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400183,2024-11-07T00:00:00,POR @ SAS,L,11.716666666666667,0,2,0.0,0,1,0.0,0,0,0.0,4,0,4,2,1,1,1,0,2,0,0,-9,12.8,0,0,10.0,1,30,30,30,58,62,52,62,14,9,14,31,36,31,17,67,52,11,16,6,32,1,17,43,62,51,53,9,1,54,1,11:43,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400193,2024-11-08T00:00:00,POR @ MIN,L,18.566666666666666,3,7,0.429,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,2,1,0,6,-19,15.6,0,0,13.0,1,30,30,30,35,21,13,48,14,37,14,31,36,31,51,52,56,42,50,30,18,63,6,43,29,65,42,9,1,42,1,18:34,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400210,2024-11-10T00:00:00,POR vs. MEM,L,16.933333333333334,5,7,0.714,0,1,0.0,3,3,1.0,1,2,3,0,2,1,1,1,3,2,13,-14,20.6,0,0,20.0,1,30,30,30,40,9,13,13,14,9,14,5,13,1,51,52,56,42,8,6,32,50,29,13,7,61,34,9,1,32,1,16:56,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400008,2024-11-12T00:00:00,POR vs. MIN,W,21.111666666666668,2,5,0.4,0,1,0.0,0,0,0.0,3,3,6,0,1,1,1,0,5,1,4,3,16.2,0,0,14.0,1,1,1,1,29,32,26,50,14,9,14,31,36,31,28,41,39,42,16,6,32,1,57,30,35,24,41,9,1,41,1,21:07,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400226,2024-11-13T00:00:00,POR vs. MIN,W,31.468333333333334,6,10,0.6,0,0,0.0,5,5,1.0,6,6,12,1,1,0,8,1,3,4,17,15,55.9,1,0,46.0,1,1,1,1,5,4,5,20,14,37,14,1,3,1,9,17,12,20,16,30,1,50,29,5,3,8,1,1,1,1,1,31:28,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400239,2024-11-17T00:00:00,POR vs. ATL,W,21.75,3,4,0.75,0,0,0.0,0,0,0.0,5,3,8,0,1,1,3,0,3,2,6,-20,26.6,0,0,22.0,1,1,1,1,26,21,31,9,14,37,14,31,36,31,12,41,27,42,16,6,5,1,29,13,29,66,27,9,1,28,1,21:45,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400256,2024-11-20T00:00:00,POR @ OKC,L,21.416666666666668,4,7,0.571,1,1,1.0,1,4,0.25,5,4,9,0,1,2,2,1,3,2,10,5,31.8,0,0,28.0,1,30,30,30,27,13,13,25,2,9,1,21,5,29,12,30,21,42,16,1,18,50,29,13,14,19,14,9,1,13,1,21:25,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400031,2024-11-22T00:00:00,POR @ HOU,L,15.08,4,7,0.571,1,3,0.333,0,0,0.0,3,4,7,1,2,0,2,0,4,1,9,-11,22.9,0,0,22.0,1,30,30,30,45,13,13,25,2,2,12,31,36,31,28,30,30,20,8,30,18,1,44,30,18,56,31,9,1,28,1,15:05,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400267,2024-11-23T00:00:00,POR @ HOU,W,25.6,0,4,0.0,0,0,0.0,0,0,0.0,9,10,19,1,1,1,3,0,4,1,0,3,35.3,0,0,28.0,1,1,1,1,18,62,31,62,14,37,14,31,36,31,2,3,2,20,16,6,5,1,44,30,62,24,11,9,1,13,1,25:36,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022401215,2024-12-13T00:00:00,POR vs. SAS,L,15.023333333333333,3,6,0.5,0,1,0.0,0,0,0.0,2,5,7,2,3,0,0,2,4,0,6,3,14.4,0,0,15.0,1,30,30,30,46,21,19,31,14,9,14,31,36,31,37,21,30,11,2,30,55,63,44,43,29,24,45,9,1,40,1,15:01,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022401219,2024-12-15T00:00:00,POR @ PHX,L,19.35,5,9,0.556,0,2,0.0,0,0,0.0,4,5,9,3,3,0,2,0,5,0,10,-2,28.3,0,0,26.0,1,30,30,30,34,9,8,28,14,5,14,31,36,31,17,21,21,5,2,30,18,1,57,43,14,37,24,9,1,19,1,19:21,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400371,2024-12-19T00:00:00,POR vs. DEN,W,11.666666666666666,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,1,0,0,0,0,3,9,8.4,0,0,8.0,1,1,1,1,59,45,52,31,2,9,1,31,36,31,63,52,64,42,50,6,55,1,1,43,51,11,63,9,1,60,1,11:40,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400386,2024-12-21T00:00:00,POR @ SAS,L,12.8,3,4,0.75,1,1,1.0,0,0,0.0,2,4,6,1,0,0,1,1,4,0,7,-5,18.7,0,0,17.0,1,30,30,30,53,21,31,9,2,9,1,31,36,31,37,30,39,20,50,30,32,50,44,43,24,45,39,9,1,36,1,12:48,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400401,2024-12-23T00:00:00,POR @ DAL,L,15.295,2,5,0.4,0,1,0.0,0,0,0.0,1,2,3,1,1,0,0,0,2,0,4,-7,8.1,0,0,8.0,1,30,30,30,44,32,26,50,14,9,14,31,36,31,51,52,56,20,16,30,55,1,17,43,35,48,64,9,1,60,1,15:18,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400417,2024-12-26T00:00:00,POR vs. UTA,W,13.635,2,3,0.667,0,0,0.0,0,0,0.0,2,2,4,0,1,2,0,0,1,0,4,3,13.8,0,0,12.0,1,1,1,1,50,32,45,14,14,37,14,31,36,31,37,52,52,42,16,1,55,1,6,43,35,24,49,9,1,47,1,13:38,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400434,2024-12-28T00:00:00,POR vs. DAL,W,12.306666666666667,1,3,0.333,0,1,0.0,2,2,1.0,4,3,7,0,3,0,1,0,1,2,4,-12,12.4,0,0,13.0,1,1,1,1,56,45,45,53,14,9,14,8,19,1,17,41,30,42,2,30,32,1,6,13,35,59,54,9,1,42,1,12:18,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400447,2024-12-30T00:00:00,POR vs. PHI,L,8.516666666666667,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,2,3,0,0,0,2,1,3,1,4.2,0,0,6.0,1,30,30,30,65,45,52,31,14,37,14,21,19,20,63,63,66,11,2,30,55,1,17,30,51,30,67,9,1,65,1,8:31,1,2024-25
2024-25,1642270,Donovan Clingan,Donovan,1610612757,POR,Portland Trail Blazers,0022400468,2025-01-02T00:00:00,POR @ LAL,L,17.283333333333335,1,2,0.5,0,0,0.0,2,2,1.0,2,1,3,1,1,0,1,0,0,1,4,-1,11.1,0,0,10.0,1,30,30,30,39,45,52,31,14,37,14,8,19,1,37,63,56,20,16,30,32,1,1,30,35,35,56,9,1,54,1,17:17,1,2024-25
