SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100007,2021-10-20T00:00:00,CLE @ MEM,L,38.3,7,13,0.538,1,2,0.5,2,3,0.667,0,9,9,6,0,1,1,1,2,3,17,-18,42.8,0,0,37.0,1,41,41,41,13,20,23,29,5,12,6,29,33,34,60,6,23,2,58,16,37,33,23,25,22,68,13,22,1,14,1,38:18,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100017,2021-10-22T00:00:00,CLE vs. CHA,L,32.46,4,7,0.571,0,0,0.0,5,6,0.833,1,4,5,2,4,2,2,0,2,3,13,-7,30.0,0,0,28.0,1,41,41,41,49,52,60,23,20,50,20,5,11,19,39,50,56,31,4,3,17,1,23,25,42,49,44,22,1,42,1,32:28,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100027,2021-10-23T00:00:00,CLE vs. ATL,W,35.15,7,12,0.583,0,2,0.0,3,3,1.0,2,9,11,1,1,2,4,0,3,2,17,6,48.7,1,0,41.0,1,1,1,1,34,20,28,20,20,12,20,20,33,1,26,6,9,50,39,3,2,1,44,39,22,19,7,1,1,9,1,35:09,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100048,2021-10-25T00:00:00,CLE @ DEN,W,26.223333333333333,4,8,0.5,0,0,0.0,2,2,1.0,3,5,8,2,3,0,1,0,3,1,10,16,22.6,0,0,22.0,1,1,1,1,63,52,58,31,20,50,20,29,43,1,12,41,32,31,13,37,37,1,44,55,57,8,61,22,1,58,1,26:13,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100064,2021-10-27T00:00:00,CLE @ LAC,W,34.11666666666667,3,10,0.3,0,0,0.0,6,6,1.0,3,7,10,0,0,1,2,0,4,3,12,11,33.0,1,0,28.0,1,1,1,1,39,58,50,62,20,50,20,1,11,1,12,21,17,65,58,16,17,1,62,25,46,12,36,1,1,42,1,34:07,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100077,2021-10-29T00:00:00,CLE @ LAL,L,36.266666666666666,10,16,0.625,1,2,0.5,2,5,0.4,2,4,6,3,0,2,0,1,0,4,23,0,40.7,0,0,37.0,1,41,41,41,24,6,6,13,5,12,6,29,19,53,26,50,50,19,58,3,57,33,1,16,6,35,18,22,1,14,1,36:16,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100088,2021-10-30T00:00:00,CLE @ PHX,L,21.333333333333332,1,6,0.167,0,1,0.0,0,0,0.0,1,3,4,4,0,0,0,1,1,0,2,-6,12.8,0,0,10.0,1,41,41,41,68,67,65,67,20,29,20,61,63,61,39,59,65,10,58,37,57,33,6,67,68,46,68,22,1,68,1,21:20,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100094,2021-11-01T00:00:00,CLE @ CHA,W,40.05,7,15,0.467,0,2,0.0,1,2,0.5,4,6,10,3,4,2,1,2,4,1,15,-2,36.5,1,0,34.0,1,1,1,1,3,20,9,46,20,12,20,44,43,39,8,36,17,19,4,3,37,60,62,55,33,39,30,1,1,28,1,40:03,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100108,2021-11-03T00:00:00,CLE vs. POR,W,39.665,5,11,0.455,0,1,0.0,1,2,0.5,2,9,11,0,4,0,1,2,2,2,11,-10,23.2,1,0,24.0,1,1,1,1,5,42,43,49,20,29,20,44,43,39,26,6,9,65,4,37,37,60,23,39,52,60,60,1,1,53,1,39:40,1,2021-22
2021-22,1630596,Evan Mobley,Evan,1610612739,CLE,Cleveland Cavaliers,0022100127,2021-11-05T00:00:00,CLE @ TOR,W,38.36666666666667,7,14,0.5,0,3,0.0,4,4,1.0,0,5,5,2,2,0,1,1,2,3,18,-7,28.0,0,0,27.0,1,1,1,1,12,20,17,31,20,5,20,14,24,1,60,41,56,31,24,37,37,33,23,25,16,49,51,22,1,46,1,38:22,1,2021-22
