SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800009,2018-10-17T00:00:00,HOU vs. NOP,L,1.5833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,16,16,16,27,15,19,15,3,6,3,8,8,8,13,19,23,13,12,8,11,1,1,13,16,11,24,1,1,24,1,1:35,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800039,2018-10-21T00:00:00,HOU @ LAC,L,9.383333333333333,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,2,1,1,0,3,0,6,-7,11.2,0,0,11.0,1,16,16,16,11,1,5,1,3,6,3,8,8,8,13,8,13,13,1,1,3,1,18,13,1,26,6,1,1,4,1,9:23,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800057,2018-10-24T00:00:00,HOU vs. UTA,L,2.5516666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,4,0.0,0,0,0.0,1,16,16,16,26,15,19,15,3,6,3,8,8,8,13,19,23,13,12,8,11,1,6,13,16,6,24,1,1,24,1,2:33,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800070,2018-10-26T00:00:00,HOU vs. LAC,L,13.316666666666666,1,4,0.25,0,2,0.0,4,4,1.0,1,0,1,3,0,0,1,0,4,2,6,3,14.7,0,0,12.0,1,16,16,16,2,6,1,14,3,1,3,1,1,1,6,19,13,1,12,8,3,1,25,1,1,7,3,1,1,3,1,13:19,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800101,2018-10-30T00:00:00,HOU vs. POR,L,6.983333333333333,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,3,0,0,0,2.7,0,0,2.0,1,16,16,16,16,15,13,15,3,6,3,8,8,8,6,19,13,3,12,8,11,1,18,13,16,15,18,1,1,20,1,6:59,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800118,2018-11-02T00:00:00,HOU @ BKN,W,7.65,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,1,0,1,0,1,6.2,0,0,5.0,1,1,1,1,15,15,8,15,3,6,3,8,8,8,13,8,13,13,3,8,1,23,1,3,16,13,14,1,1,13,1,7:39,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800129,2018-11-03T00:00:00,HOU @ CHI,W,12.783333333333333,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,1,0,3,1,2,7,7.9,0,0,7.0,1,1,1,1,4,6,13,1,3,6,3,8,8,8,6,8,7,3,3,8,3,1,18,3,11,4,10,1,1,9,1,12:47,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800141,2018-11-05T00:00:00,HOU @ IND,W,7.733333333333333,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,2,0,4,-7,7.2,0,0,7.0,1,1,1,1,14,2,5,6,3,6,3,8,8,8,13,8,13,13,3,8,3,1,12,13,5,26,12,1,1,9,1,7:44,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800163,2018-11-08T00:00:00,HOU @ OKC,L,6.116666666666666,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,1,2,0,0,-1,2.6,0,0,3.0,1,16,16,16,21,15,13,15,3,6,3,8,8,8,6,2,4,13,3,8,11,23,12,13,16,16,20,1,1,19,1,6:07,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800180,2018-11-10T00:00:00,HOU @ SAS,L,9.85,1,3,0.333,0,0,0.0,1,2,0.5,6,1,7,1,1,1,0,1,1,1,3,13,14.9,0,0,13.0,1,16,16,16,9,6,5,13,3,6,3,3,2,5,1,8,1,3,3,1,11,23,6,3,8,3,1,1,1,1,1,9:51,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800185,2018-11-11T00:00:00,HOU vs. IND,W,12.666666666666666,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,0,4,16,8.2,0,0,7.0,1,1,1,1,5,2,1,7,3,6,3,8,8,8,13,8,13,13,12,8,3,1,12,13,5,2,9,1,1,9,1,12:40,1,2018-19
2018-19,1628392,Isaiah Hartenstein,Isaiah,1610612745,HOU,Houston Rockets,0021800200,2018-11-13T00:00:00,HOU @ DEN,W,11.6,1,1,1.0,0,0,0.0,1,2,0.5,1,0,1,0,2,0,0,0,3,1,3,-3,2.2,0,0,4.0,1,1,1,1,6,6,13,1,3,6,3,3,2,5,6,19,13,13,1,8,11,1,18,3,8,21,22,1,1,17,1,11:36,1,2018-19
