SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700104,2017-10-31T00:00:00,LAL vs. DET,W,2.3666666666666667,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,-3,0.2,0,0,1.0,1,1,1,1,36,26,21,26,1,2,1,15,16,15,11,31,26,15,6,8,13,1,21,20,27,30,33,2,1,33,2,2:22,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700164,2017-11-09T00:00:00,LAL @ WAS,L,3.1,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,2,4,4.4,0,0,4.0,1,20,20,20,32,15,21,11,1,2,1,15,16,15,11,21,22,15,21,8,13,1,1,20,18,12,27,2,1,25,1,3:06,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700240,2017-11-19T00:00:00,LAL vs. DEN,W,2.033333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,1,1,1,37,26,34,26,1,2,1,15,16,15,26,31,33,15,21,8,13,1,1,20,27,27,35,2,1,35,1,2:02,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700252,2017-11-21T00:00:00,LAL vs. CHI,W,2.8666666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,2,-3,2.2,0,0,3.0,1,1,1,1,33,15,29,1,1,2,1,15,16,15,26,21,26,15,6,8,13,1,21,20,18,30,31,2,1,28,1,2:52,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700266,2017-11-22T00:00:00,LAL @ SAC,L,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,20,20,20,40,26,34,26,1,2,1,15,16,15,26,31,33,15,21,8,13,1,1,20,27,15,35,2,1,35,2,1:12,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700338,2017-12-03T00:00:00,LAL vs. HOU,L,2.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,0,0,0.0,1,20,20,20,35,26,34,26,1,2,1,15,16,15,26,31,33,15,21,8,13,1,1,15,27,35,35,2,1,35,1,2:42,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700529,2017-12-29T00:00:00,LAL vs. LAC,L,1.3166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,1,20,20,20,39,26,34,26,1,2,1,15,16,15,26,31,33,15,21,8,13,1,1,20,27,14,35,2,1,35,1,1:19,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700548,2018-01-01T00:00:00,LAL @ MIN,L,12.0,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,0,3,0,4,-3,7.8,0,0,8.0,1,20,20,20,15,8,14,6,1,2,1,15,16,15,11,8,13,15,6,8,13,1,36,20,14,30,20,2,1,19,1,12:00,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700565,2018-01-03T00:00:00,LAL vs. OKC,L,5.95,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-7,-1.0,0,0,0.0,1,20,20,20,25,26,29,26,1,2,1,15,16,15,26,31,33,15,6,8,13,1,1,20,27,37,41,2,1,35,1,5:57,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700577,2018-01-05T00:00:00,LAL vs. CHA,L,2.816666666666667,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,2,5,4.7,0,0,4.0,1,20,20,20,34,15,21,11,1,2,1,15,16,15,26,21,26,6,21,8,13,1,1,20,18,9,26,2,1,25,1,2:49,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700590,2018-01-07T00:00:00,LAL vs. ATL,W,1.0666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1,1,1,1,41,26,34,26,1,2,1,15,16,15,26,31,33,15,21,8,13,1,1,20,27,18,35,2,1,35,1,1:04,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700660,2018-01-17T00:00:00,LAL @ OKC,L,9.633333333333333,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,2,1,3.2,0,0,3.0,1,20,20,20,19,15,14,19,1,2,1,15,16,15,26,21,26,15,21,8,13,33,1,20,18,18,29,2,1,28,1,9:38,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700684,2018-01-21T00:00:00,LAL vs. NYK,W,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,-1.0,0,0,0.0,1,1,1,1,42,26,34,26,1,2,1,15,16,15,26,31,33,15,6,8,13,1,1,20,27,18,41,2,1,35,2,1:01,1,2017-18
2017-18,1627826,Ivica Zubac,Ivica,1610612747,LAL,Los Angeles Lakers,0021700804,2018-02-06T00:00:00,LAL vs. PHX,W,1.4333333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,2.0,1,1,1,1,38,26,29,26,1,2,1,15,16,15,26,31,33,15,21,8,3,1,1,20,27,21,30,2,1,31,1,1:26,1,2017-18
