SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200003,2022-10-19T00:00:00,DET vs. ORL,W,21.713333333333335,7,13,0.538,0,0,0.0,0,4,0.0,5,5,10,1,3,0,3,0,0,3,14,7,33.5,1,0,31.0,1,1,1,1,47,6,2,44,1,3,1,44,9,44,8,30,23,24,5,34,2,1,1,7,13,10,15,1,1,12,1,21:43,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200023,2022-10-21T00:00:00,DET @ NYK,L,22.66,4,8,0.5,0,1,0.0,0,1,0.0,3,7,10,0,1,1,0,0,4,2,8,-12,22.0,0,0,20.0,1,17,17,17,42,26,10,45,1,1,1,44,41,44,29,19,23,38,21,10,38,1,49,19,34,51,39,20,1,35,1,22:40,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200029,2022-10-22T00:00:00,DET @ IND,L,18.45,3,3,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,2,0,0,1,6,-8,15.6,0,0,13.0,1,17,17,17,57,35,53,1,1,3,1,44,48,44,46,60,62,38,56,34,7,1,1,39,46,39,53,20,1,54,1,18:27,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200052,2022-10-25T00:00:00,DET @ WAS,L,23.05,3,6,0.5,0,0,0.0,0,1,0.0,4,4,8,0,0,0,0,2,2,1,6,-9,15.6,0,0,14.0,1,17,17,17,40,35,30,45,1,3,1,44,41,44,23,42,34,38,56,34,38,59,10,39,46,41,53,20,1,53,1,23:03,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200057,2022-10-26T00:00:00,DET vs. ATL,L,20.916666666666668,3,4,0.75,0,0,0.0,1,2,0.5,3,6,9,0,1,0,1,0,2,2,7,-2,19.8,0,0,18.0,1,17,17,17,52,35,42,19,1,3,1,24,25,23,29,21,29,38,21,34,16,1,10,19,39,24,45,20,1,45,1,20:55,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200070,2022-10-28T00:00:00,DET vs. ATL,L,23.266666666666666,2,4,0.5,0,0,0.0,4,6,0.667,2,1,3,0,3,0,2,2,4,3,8,-19,14.6,0,0,15.0,1,17,17,17,39,45,42,45,1,3,1,5,5,20,46,60,62,38,5,34,7,59,49,7,34,64,55,20,1,50,1,23:16,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200091,2022-10-30T00:00:00,DET vs. GSW,W,15.066666666666666,1,3,0.333,0,0,0.0,1,2,0.5,3,1,4,0,1,0,1,0,2,1,3,2,9.8,0,0,9.0,1,1,1,1,63,55,53,58,1,3,1,24,25,23,29,60,57,38,21,34,16,1,10,39,56,20,62,20,1,62,1,15:04,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200146,2022-11-07T00:00:00,DET vs. OKC,W,21.405,2,5,0.4,0,0,0.0,3,6,0.5,2,2,4,0,1,0,3,1,3,3,7,-11,19.8,0,0,17.0,1,1,1,1,48,45,35,55,1,3,1,8,5,23,46,54,57,38,21,34,2,42,31,7,39,50,45,20,1,47,1,21:24,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200163,2022-11-09T00:00:00,DET @ BOS,L,29.716666666666665,5,8,0.625,0,0,0.0,0,0,0.0,5,5,10,2,0,1,1,0,1,0,10,-10,31.0,1,0,26.0,1,17,17,17,14,17,10,39,1,3,1,44,48,44,8,30,23,12,56,10,16,1,4,60,26,47,19,1,1,23,1,29:43,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200178,2022-11-11T00:00:00,DET @ NYK,L,21.166666666666668,0,1,0.0,0,0,0.0,1,4,0.25,2,6,8,0,1,0,1,0,1,3,1,-3,12.6,0,0,11.0,1,17,17,17,51,63,60,63,1,3,1,24,9,41,46,21,34,38,21,34,16,1,4,7,64,26,57,20,1,58,1,21:10,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200186,2022-11-12T00:00:00,DET vs. BOS,L,17.183333333333334,1,1,1.0,0,0,0.0,0,0,0.0,1,11,12,1,1,2,0,0,2,2,2,-9,22.9,0,0,19.0,1,17,17,17,62,55,60,1,1,3,1,44,48,44,61,3,14,24,21,3,38,1,10,19,59,41,36,20,1,40,1,17:11,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200199,2022-11-14T00:00:00,DET vs. TOR,L,19.1,1,1,1.0,0,0,0.0,0,2,0.0,2,4,6,0,1,0,0,0,3,1,2,0,8.2,0,0,8.0,1,17,17,17,56,55,60,1,1,3,1,44,25,44,46,42,49,38,21,34,38,1,31,39,59,22,64,20,1,63,1,19:06,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200223,2022-11-17T00:00:00,DET @ LAC,L,25.116666666666667,3,6,0.5,0,0,0.0,2,3,0.667,4,5,9,0,1,0,1,0,3,2,8,5,20.8,0,0,19.0,1,17,17,17,32,35,30,45,1,3,1,16,22,20,23,30,29,38,21,34,16,1,31,19,34,14,41,20,1,40,1,25:07,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200234,2022-11-18T00:00:00,DET @ LAL,L,21.775,5,7,0.714,0,0,0.0,2,2,1.0,3,5,8,0,1,1,1,2,4,1,12,-6,26.6,0,0,24.0,1,17,17,17,46,17,23,28,1,3,1,16,25,1,29,30,34,38,21,10,16,59,49,39,17,34,27,20,1,25,1,21:47,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200242,2022-11-20T00:00:00,DET @ SAC,L,27.066666666666666,6,8,0.75,0,0,0.0,0,0,0.0,5,3,8,1,1,1,0,0,2,1,12,-7,25.1,0,0,23.0,1,17,17,17,27,12,10,19,1,3,1,44,48,44,8,48,34,24,21,10,38,1,10,39,17,37,29,20,1,28,1,27:04,1,2022-23
2022-23,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022200258,2022-11-22T00:00:00,DET @ DEN,W,25.833333333333332,2,3,0.667,0,0,0.0,0,0,0.0,4,3,7,2,0,1,0,0,4,1,4,14,18.4,0,0,15.0,1,1,1,1,31,45,53,35,1,3,1,44,48,44,23,48,45,12,56,10,38,1,49,39,50,2,48,20,1,50,1,25:50,1,2022-23
