SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100014,2021-10-21T00:00:00,ATL vs. DAL,W,3.533333333333333,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,0,0,0,0,0,0,6,-1,8.4,0,0,10.0,1,1,1,1,10,3,3,7,1,1,2,4,4,4,2,3,3,4,6,4,3,1,1,5,3,12,4,1,1,4,1,3:32,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100043,2021-10-25T00:00:00,ATL vs. DET,W,3.183333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,2,-5,3.2,0,0,3.0,1,1,1,1,11,6,11,1,3,10,3,4,4,4,2,5,5,4,6,4,3,1,1,5,9,16,10,1,1,9,1,3:11,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100082,2021-10-30T00:00:00,ATL @ PHI,L,5.216666666666667,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,1,4,0,4.0,0,0,4.0,1,15,15,15,7,6,6,7,3,10,3,1,2,1,2,13,13,4,6,4,3,1,1,2,4,9,9,1,1,8,1,5:13,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100120,2021-11-04T00:00:00,ATL vs. UTA,L,2.85,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,2.0,0,0,2.0,1,15,15,15,13,6,11,1,3,10,3,4,4,4,2,13,13,4,6,4,3,1,1,5,9,6,12,1,1,11,1,2:51,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100193,2021-11-14T00:00:00,ATL vs. MIL,W,1.9333333333333333,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,0,1,1.2,0,0,1.0,1,1,1,1,17,11,6,11,3,3,3,4,4,4,2,5,5,4,6,4,3,21,1,5,11,6,13,1,1,13,1,1:56,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100202,2021-11-15T00:00:00,ATL vs. ORL,W,1.05,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,3,1.2,0,0,1.0,1,1,1,1,21,11,15,11,3,10,3,4,4,4,2,5,5,4,6,4,3,1,1,5,11,4,13,1,1,13,1,1:03,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100255,2021-11-22T00:00:00,ATL vs. OKC,W,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0.0,1,1,1,1,20,11,15,11,3,10,3,4,4,4,2,13,13,4,6,4,3,1,1,5,11,16,16,1,1,16,1,1:27,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100470,2021-12-22T00:00:00,ATL vs. ORL,L,10.6,1,3,0.333,0,1,0.0,2,4,0.5,0,1,1,1,0,0,0,0,1,2,4,-8,6.7,0,0,6.0,1,15,15,15,4,6,4,10,3,3,3,1,1,3,2,5,5,1,6,4,3,1,18,1,4,21,5,1,1,5,1,10:36,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100478,2021-12-23T00:00:00,ATL @ PHI,W,4.583333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-6,0.0,0,0,0.0,1,1,1,1,8,11,11,11,3,10,3,4,4,4,2,13,13,4,6,4,3,1,18,5,11,18,16,1,1,16,1,4:35,1,2021-22
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,0022100488,2021-12-25T00:00:00,ATL @ NYK,L,15.226666666666667,2,3,0.667,0,1,0.0,0,0,0.0,0,7,7,0,2,0,0,0,1,0,4,7,10.4,0,0,11.0,1,15,15,15,3,3,4,5,3,3,3,4,4,4,2,1,1,4,2,4,3,1,18,5,4,2,3,1,1,3,1,15:14,1,2021-22
