SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100011,2021-10-20T00:00:00,OKC @ UTA,L,28.7,2,7,0.286,0,0,0.0,0,0,0.0,2,8,10,3,1,0,0,0,2,0,4,-16,19.5,0,0,17.0,1,18,18,18,43,48,50,45,34,54,34,26,27,26,15,8,12,46,46,38,17,1,28,43,52,46,49,17,5,53,1,28:42,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100023,2021-10-22T00:00:00,OKC @ HOU,L,19.566666666666666,2,6,0.333,1,3,0.333,1,2,0.5,1,1,2,4,1,1,1,0,1,2,6,-21,19.4,0,0,17.0,1,18,18,18,54,48,52,39,15,33,16,19,15,17,30,53,52,38,46,10,5,1,9,15,47,51,51,17,5,53,1,19:34,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100038,2021-10-24T00:00:00,OKC vs. PHI,L,33.555,8,13,0.615,1,2,0.5,2,3,0.667,1,7,8,7,2,4,0,0,2,4,19,-6,49.1,0,0,43.0,1,18,18,18,16,4,21,3,15,40,8,10,11,13,30,12,23,20,36,1,17,1,28,2,4,29,3,17,5,3,1,33:33,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100051,2021-10-26T00:00:00,OKC vs. GSW,L,27.183333333333334,3,10,0.3,1,3,0.333,0,0,0.0,2,7,9,4,2,1,1,3,2,3,7,0,27.8,0,0,25.0,1,18,18,18,49,40,37,41,15,33,16,26,27,26,15,12,17,38,36,10,5,48,28,7,43,14,37,17,5,38,1,27:11,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100061,2021-10-27T00:00:00,OKC vs. LAL,W,32.21666666666667,7,13,0.538,2,5,0.4,2,3,0.667,0,2,2,10,4,1,0,1,2,2,18,-3,34.4,1,0,34.0,1,1,1,1,23,10,21,7,9,10,14,10,11,13,45,51,52,4,8,10,17,27,28,15,8,23,21,1,5,16,1,32:13,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100086,2021-10-30T00:00:00,OKC @ GSW,L,27.753333333333334,5,11,0.455,0,2,0.0,0,1,0.0,0,4,4,6,1,1,1,0,2,2,10,-14,28.8,0,0,24.0,1,18,18,18,46,25,32,21,34,40,34,26,25,26,45,41,48,27,46,10,5,1,28,15,35,42,35,17,5,40,1,27:45,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100102,2021-11-01T00:00:00,OKC @ LAC,L,34.695,6,15,0.4,1,4,0.25,2,2,1.0,0,5,5,7,3,2,2,2,4,2,15,-9,40.5,0,0,36.0,1,18,18,18,11,19,12,31,15,23,23,10,15,1,45,31,40,20,25,4,1,42,53,15,16,36,9,17,5,10,1,34:42,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100123,2021-11-04T00:00:00,OKC @ LAL,W,31.89,2,9,0.222,0,2,0.0,1,2,0.5,3,5,8,8,4,3,1,1,2,2,5,8,34.6,0,0,29.0,1,1,1,1,26,48,45,50,34,40,34,19,15,17,8,31,23,12,8,3,5,27,28,15,51,3,20,17,5,31,1,31:53,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100144,2021-11-07T00:00:00,OKC vs. SAS,W,27.2,3,10,0.3,1,6,0.167,0,0,0.0,2,5,7,4,4,0,0,0,1,0,7,-14,17.4,0,0,19.0,1,1,1,1,48,40,37,41,15,4,31,26,27,26,15,31,27,38,8,38,17,1,9,43,43,42,53,17,5,49,1,27:12,1,2021-22
2021-22,1630581,Josh Giddey,Josh,1610612760,OKC,Oklahoma City Thunder,0022100165,2021-11-10T00:00:00,OKC @ NOP,W,30.71,3,10,0.3,1,3,0.333,0,0,0.0,5,7,12,9,5,1,0,1,3,1,7,3,32.9,0,0,31.0,1,1,1,1,35,40,37,41,15,33,16,26,27,26,2,12,4,10,6,10,17,27,44,31,43,10,26,17,5,24,1,30:43,1,2021-22
