SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700026,2017-10-20T00:00:00,LAL @ PHX,W,2.3333333333333335,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0.0,1,1,1,1,63,52,62,52,41,59,41,31,33,31,29,59,59,41,35,37,16,1,1,42,53,39,61,9,1,61,2,2:20,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700040,2017-10-22T00:00:00,LAL vs. NOP,L,14.633333333333333,2,3,0.667,1,2,0.5,0,0,0.0,2,2,4,1,0,0,0,0,1,0,5,21,11.3,0,0,11.0,1,28,28,28,46,31,41,11,23,32,16,31,33,31,4,33,21,23,35,37,16,1,15,42,36,2,36,9,1,33,1,14:38,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700064,2017-10-25T00:00:00,LAL vs. WAS,W,15.533333333333333,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,0,0,1,0,0,1,0,2,-12,11.0,0,0,9.0,1,1,1,1,44,42,41,42,41,32,41,31,33,31,29,13,17,41,35,11,16,1,15,42,49,54,39,9,1,42,1,15:32,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700076,2017-10-27T00:00:00,LAL vs. TOR,L,20.1,4,4,1.0,0,0,0.0,1,2,0.5,0,4,4,0,0,2,1,0,3,2,9,8,22.8,0,0,19.0,1,28,28,28,36,16,33,1,41,59,41,23,12,20,29,18,21,41,35,2,2,1,48,10,23,8,23,9,1,25,1,20:06,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700082,2017-10-28T00:00:00,LAL @ UTA,L,16.35,2,4,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,1,0,0,0,1,6,7,11.4,0,0,10.0,1,28,28,28,42,31,33,23,41,43,41,8,12,1,29,33,40,41,35,11,16,1,1,19,32,12,35,9,1,36,1,16:21,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700104,2017-10-31T00:00:00,LAL vs. DET,W,17.0,1,3,0.333,1,1,1.0,0,0,0.0,0,2,2,1,1,0,0,0,1,0,3,8,5.9,0,0,7.0,1,1,1,1,41,42,41,42,23,43,1,31,33,31,29,33,40,23,11,37,16,1,15,42,45,8,54,9,1,49,2,17:00,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700118,2017-11-02T00:00:00,LAL @ POR,L,13.6,0,4,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,2,1,0,0,1,2,-7,12.2,0,0,9.0,1,28,28,28,50,52,33,52,41,32,41,8,12,1,29,47,54,41,35,2,2,1,1,19,49,45,32,9,1,42,2,13:36,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700130,2017-11-03T00:00:00,LAL vs. BKN,W,11.785,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,1,1,0,2,0,0,-2,5.2,0,0,5.0,1,1,1,1,59,52,55,52,41,43,41,31,33,31,29,47,54,41,4,11,2,1,32,42,53,32,55,9,1,55,1,11:47,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700145,2017-11-05T00:00:00,LAL vs. MEM,W,12.1,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0,0,-6,0.0,0,0,0.0,1,1,1,1,57,52,49,52,41,59,41,31,33,31,29,59,59,41,35,37,16,48,32,42,53,42,61,9,1,61,1,12:06,1,2017-18
2017-18,1628404,Josh Hart,Josh,1610612747,LAL,Los Angeles Lakers,0021700161,2017-11-08T00:00:00,LAL @ BOS,L,11.883333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,0,1,0,0,-8,-2.0,0,0,0.0,1,28,28,28,58,52,55,52,41,43,41,31,33,31,29,59,59,41,4,37,16,1,15,42,53,46,63,9,1,61,1,11:53,1,2017-18
