SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700011,2017-10-18T00:00:00,MIN @ SAS,L,34.5,8,15,0.533,0,1,0.0,2,2,1.0,2,11,13,1,2,2,1,1,4,1,18,0,42.1,1,0,38.0,1,48,48,48,55,34,32,46,61,69,61,58,62,1,48,17,24,58,28,4,31,40,37,79,49,52,42,1,1,48,1,34:30,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700023,2017-10-20T00:00:00,MIN vs. UTA,W,32.483333333333334,7,12,0.583,0,1,0.0,6,8,0.75,0,10,10,1,1,1,2,0,3,6,20,-8,41.5,1,0,37.0,1,1,1,1,62,43,53,32,61,69,61,17,12,54,79,27,59,58,44,16,18,1,21,15,41,68,44,1,1,56,1,32:29,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700039,2017-10-22T00:00:00,MIN @ OKC,W,35.583333333333336,11,17,0.647,2,7,0.286,3,3,1.0,4,8,12,1,4,0,1,0,5,4,27,2,41.9,1,0,44.0,1,1,1,1,49,10,16,18,13,3,50,46,54,1,14,52,34,58,6,46,31,1,66,42,17,45,43,1,1,32,1,35:35,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700052,2017-10-24T00:00:00,MIN vs. IND,L,30.716666666666665,12,17,0.706,0,1,0.0,4,4,1.0,2,5,7,2,3,0,2,0,4,5,28,-16,42.4,0,0,41.0,1,48,48,48,68,5,16,10,61,69,61,33,40,1,48,78,77,36,14,46,18,1,37,31,14,78,41,69,1,39,2,30:43,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700056,2017-10-25T00:00:00,MIN @ DET,L,36.15,8,16,0.5,3,6,0.5,4,4,1.0,1,9,10,1,3,0,1,0,2,3,23,-14,36.5,1,0,39.0,1,48,48,48,43,34,23,51,6,9,22,33,40,1,66,38,59,58,14,46,31,1,8,58,28,76,62,1,1,43,1,36:09,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700074,2017-10-27T00:00:00,MIN vs. OKC,W,36.05,12,24,0.5,1,4,0.25,8,9,0.889,7,12,19,0,1,0,4,4,4,5,33,17,66.8,1,0,61.0,1,1,1,1,46,5,3,51,40,23,52,6,6,38,2,12,3,77,44,46,4,81,37,31,5,15,4,1,1,4,1,36:03,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700093,2017-10-30T00:00:00,MIN @ MIA,W,38.81666666666667,7,11,0.636,3,4,0.75,3,4,0.75,3,9,12,1,0,1,3,0,4,4,20,12,47.9,1,0,44.0,1,1,1,1,24,43,60,21,6,23,11,46,40,54,26,38,34,58,69,16,8,1,37,42,41,22,33,1,1,32,1,38:49,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700113,2017-11-01T00:00:00,MIN @ NOP,W,22.566666666666666,1,7,0.143,0,0,0.0,0,0,0.0,1,4,5,0,4,1,2,2,5,1,2,-2,13.0,0,0,13.0,1,1,1,1,80,81,76,81,61,76,61,76,77,76,66,79,80,77,6,16,18,67,66,79,82,58,82,69,1,82,2,22:34,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700134,2017-11-04T00:00:00,MIN vs. DAL,W,32.016666666666666,11,18,0.611,2,5,0.4,7,8,0.875,3,9,12,2,2,0,2,0,2,7,31,10,52.4,1,0,51.0,1,1,1,1,65,10,14,26,13,16,40,12,12,42,26,38,34,36,28,46,18,1,8,7,7,26,20,1,1,17,1,32:01,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700143,2017-11-05T00:00:00,MIN vs. CHA,W,28.533333333333335,5,11,0.455,0,4,0.0,6,6,1.0,2,7,9,2,4,0,2,1,5,7,16,10,31.8,0,0,31.0,1,1,1,1,75,66,60,63,61,23,61,17,23,1,48,62,70,36,6,46,18,40,66,7,57,26,69,69,1,70,1,28:32,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700163,2017-11-08T00:00:00,MIN @ GSW,L,27.233333333333334,5,11,0.455,1,4,0.25,5,7,0.714,3,9,12,1,1,1,0,0,1,6,16,-5,33.9,1,0,32.0,1,48,48,48,77,66,60,63,40,23,52,27,19,61,26,38,34,58,44,16,58,1,1,15,57,64,67,1,1,67,1,27:14,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700186,2017-11-11T00:00:00,MIN @ PHX,L,38.7,8,19,0.421,1,5,0.2,0,0,0.0,5,7,12,2,0,1,2,2,5,2,17,-27,43.4,1,0,38.0,1,48,48,48,25,34,8,67,40,16,57,76,77,76,6,62,34,36,69,16,18,67,66,70,56,82,40,1,1,48,1,38:42,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700197,2017-11-13T00:00:00,MIN @ UTA,W,41.3,10,15,0.667,4,6,0.667,0,0,0.0,1,12,13,1,0,1,1,0,2,2,24,3,47.1,1,0,46.0,1,1,1,1,6,16,32,13,3,9,13,76,77,76,66,12,24,58,69,16,31,1,8,70,24,43,35,1,1,26,2,41:18,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700210,2017-11-15T00:00:00,MIN vs. SAS,W,40.4,10,18,0.556,2,2,1.0,4,6,0.667,6,10,16,2,2,1,2,2,4,7,26,0,55.2,1,0,52.0,1,1,1,1,12,16,14,39,13,56,1,33,23,63,3,27,12,36,28,16,18,67,37,7,18,52,14,1,1,15,1,40:24,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700224,2017-11-17T00:00:00,MIN @ DAL,W,37.473333333333336,5,10,0.5,1,4,0.25,4,5,0.8,2,9,11,2,2,1,0,1,4,4,15,23,32.2,1,0,31.0,1,1,1,1,37,66,68,51,40,23,52,33,35,51,48,38,49,36,28,16,58,40,37,42,66,6,68,1,1,70,2,37:28,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700238,2017-11-19T00:00:00,MIN vs. DET,L,38.31666666666667,6,13,0.462,2,4,0.5,2,2,1.0,1,8,9,3,1,0,0,1,1,2,16,4,30.3,0,0,30.0,1,48,48,48,29,53,45,59,13,23,22,58,62,1,66,52,70,19,44,46,58,40,1,70,57,41,72,69,1,73,1,38:19,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700241,2017-11-20T00:00:00,MIN @ CHA,L,30.033333333333335,5,10,0.5,0,3,0.0,8,9,0.889,2,10,12,2,1,0,1,0,4,5,18,-11,37.4,1,0,34.0,1,48,48,48,71,66,68,51,61,41,61,6,6,38,48,27,34,36,44,46,31,1,37,31,49,71,58,1,1,63,1,30:02,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700261,2017-11-22T00:00:00,MIN vs. ORL,W,36.11666666666667,7,11,0.636,2,3,0.667,2,3,0.667,3,10,13,2,2,0,0,0,2,2,18,7,34.6,1,0,35.0,1,1,1,1,45,43,60,21,13,41,13,58,54,63,26,27,24,36,28,46,58,1,8,70,49,35,66,1,1,60,2,36:07,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700272,2017-11-24T00:00:00,MIN vs. MIA,L,38.53333333333333,6,14,0.429,0,3,0.0,6,7,0.857,3,8,11,3,2,0,1,2,4,8,18,-18,36.7,1,0,34.0,1,48,48,48,27,53,41,66,61,41,61,17,19,45,26,52,49,19,28,46,31,67,37,4,49,79,61,1,1,63,2,38:32,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700288,2017-11-26T00:00:00,MIN vs. PHX,W,39.15,12,26,0.462,2,6,0.333,6,6,1.0,5,7,12,2,1,0,1,1,2,8,32,13,51.4,1,0,50.0,1,1,1,1,19,5,2,59,13,9,44,17,23,1,6,62,34,36,44,46,31,40,8,4,6,20,21,1,1,21,1,39:09,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700300,2017-11-28T00:00:00,MIN vs. WAS,L,39.8,9,19,0.474,2,5,0.4,0,0,0.0,3,14,17,0,4,1,0,2,4,4,20,3,39.4,1,0,41.0,1,48,48,48,18,25,8,58,13,16,40,76,77,76,26,5,8,77,6,16,58,67,37,42,41,43,52,1,1,39,1,39:48,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700309,2017-11-29T00:00:00,MIN @ NOP,W,20.731666666666666,4,7,0.571,1,2,0.5,2,2,1.0,2,8,10,3,6,0,0,0,5,2,11,4,21.5,1,0,25.0,1,1,1,1,81,74,76,36,40,56,22,58,62,1,48,52,59,19,2,46,58,1,66,70,77,41,80,1,1,78,1,20:44,1,2017-18
2017-18,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,Minnesota Timberwolves,0021700324,2017-12-01T00:00:00,MIN @ OKC,L,35.416666666666664,9,17,0.529,1,3,0.333,4,4,1.0,3,6,9,0,2,2,1,0,5,6,23,5,40.8,0,0,39.0,1,48,48,48,50,25,16,48,40,41,44,33,40,1,26,72,70,77,28,4,31,1,66,15,28,38,46,69,1,43,2,35:25,1,2017-18
