SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200011,2022-10-19T00:00:00,CHA @ SAS,W,4.333333333333333,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,2,0,0,0,3,1,2,-7,1.2,0,0,3.0,1,1,1,1,40,42,42,42,1,1,1,14,17,1,36,38,42,13,4,22,28,1,25,24,38,32,42,12,1,42,1,4:20,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200038,2022-10-23T00:00:00,CHA @ ATL,W,1.4333333333333333,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,2,-1,5.6,0,0,5.0,1,1,1,1,42,35,36,28,1,1,1,30,33,30,17,38,35,13,27,22,28,1,1,37,38,20,40,12,1,40,1,1:26,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200071,2022-10-28T00:00:00,CHA @ ORL,L,7.1,3,5,0.6,0,0,0.0,1,1,1.0,2,2,4,0,0,0,0,0,0,1,7,12,11.8,0,0,11.0,1,19,19,19,38,21,21,22,1,1,1,21,30,1,17,35,31,13,27,22,28,1,1,24,25,2,36,12,1,36,1,7:06,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200504,2022-12-26T00:00:00,CHA @ POR,L,15.766666666666667,3,4,0.75,0,0,0.0,3,4,0.75,1,5,6,1,0,2,0,0,5,3,9,7,23.7,0,0,20.0,1,19,19,19,32,21,30,11,1,1,1,4,5,13,23,15,22,6,27,2,28,1,43,4,19,7,17,12,1,19,1,15:46,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200513,2022-12-27T00:00:00,CHA @ GSW,L,18.433333333333334,3,5,0.6,0,0,0.0,0,0,0.0,0,2,2,1,1,1,2,0,1,0,6,1,17.9,0,0,15.0,1,19,19,19,22,21,21,22,1,1,1,30,33,30,36,35,39,6,11,7,5,1,8,37,29,16,27,12,1,29,1,18:26,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200523,2022-12-29T00:00:00,CHA vs. OKC,W,21.283333333333335,7,7,1.0,0,0,0.0,3,5,0.6,4,9,13,2,1,2,2,0,2,3,17,-1,46.6,1,0,40.0,1,1,1,1,16,4,11,1,1,1,1,4,4,23,6,5,4,2,11,2,5,1,15,4,3,20,2,1,1,2,1,21:17,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200539,2022-12-31T00:00:00,CHA vs. BKN,L,14.616666666666667,3,7,0.429,0,0,0.0,2,2,1.0,3,4,7,0,4,0,0,0,1,1,8,-8,12.4,0,0,15.0,1,19,19,19,34,21,11,37,1,1,1,14,17,1,11,22,18,13,1,22,28,1,8,24,22,36,35,12,1,29,1,14:37,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200551,2023-01-02T00:00:00,CHA vs. LAL,L,15.416666666666666,1,2,0.5,0,0,0.0,3,4,0.75,0,9,9,0,1,0,1,0,1,2,5,-7,17.8,0,0,16.0,1,19,19,19,33,35,36,28,1,1,1,4,5,13,36,5,12,13,11,22,12,1,8,12,34,32,28,12,1,27,1,15:25,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200564,2023-01-04T00:00:00,CHA vs. MEM,L,20.216666666666665,1,5,0.2,0,0,0.0,0,0,0.0,1,7,8,0,2,1,1,1,3,0,2,-23,15.6,0,0,14.0,1,19,19,19,18,35,21,40,1,1,1,30,33,30,23,8,13,13,4,7,12,28,25,37,38,43,33,12,1,32,1,20:13,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200583,2023-01-06T00:00:00,CHA @ MIL,W,14.166666666666666,2,4,0.5,0,0,0.0,0,2,0.0,2,4,6,1,0,1,0,0,3,3,4,-4,15.7,0,0,13.0,1,1,1,1,36,31,30,28,1,1,1,30,17,30,17,22,22,6,27,7,28,1,25,4,36,27,32,12,1,35,1,14:10,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200598,2023-01-08T00:00:00,CHA @ IND,L,16.383333333333333,2,6,0.333,0,0,0.0,3,4,0.75,2,6,8,0,0,1,1,2,2,4,7,5,22.6,0,0,19.0,1,19,19,19,31,31,19,39,1,1,1,4,5,13,17,14,13,13,27,7,12,42,15,2,25,11,20,12,1,20,1,16:23,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200613,2023-01-10T00:00:00,CHA @ TOR,L,14.516666666666667,1,2,0.5,0,0,0.0,2,2,1.0,1,3,4,0,1,0,1,1,1,1,4,-12,10.8,0,0,10.0,1,19,19,19,35,35,36,28,1,1,1,14,17,1,23,29,31,13,11,22,12,28,8,24,36,38,37,12,1,37,1,14:31,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200642,2023-01-14T00:00:00,CHA vs. BOS,L,1.7333333333333334,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,2,0,4.4,0,0,4.0,1,19,19,19,41,35,36,28,1,1,1,30,33,30,23,38,39,13,27,22,28,1,1,37,38,18,41,12,1,41,1,1:44,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200656,2023-01-16T00:00:00,CHA vs. BOS,L,16.916666666666668,3,4,0.75,0,0,0.0,3,4,0.75,1,5,6,0,0,0,0,0,1,2,9,0,16.2,0,0,15.0,1,19,19,19,25,21,30,11,1,1,1,4,5,13,23,15,22,13,27,22,28,1,8,12,19,18,31,12,1,29,1,16:55,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200671,2023-01-18T00:00:00,CHA @ HOU,W,18.715,8,10,0.8,0,0,0.0,1,1,1.0,1,5,6,0,0,0,5,1,3,2,17,11,39.2,0,0,33.0,1,1,1,1,20,3,4,8,1,1,1,21,30,1,23,15,22,13,27,22,1,28,25,12,3,3,4,12,1,4,1,18:43,1,2022-23
2022-23,1631109,Mark Williams,Mark,1610612766,CHA,Charlotte Hornets,0022200694,2023-01-21T00:00:00,CHA @ ATL,W,18.55,3,5,0.6,0,0,0.0,2,3,0.667,0,5,5,0,0,3,0,1,1,3,8,-6,23.0,0,0,19.0,1,1,1,1,21,21,21,22,1,1,1,14,13,21,36,15,28,13,27,1,28,28,8,4,22,30,19,12,1,20,1,18:33,1,2022-23
