SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800007,2018-10-17T00:00:00,NYK vs. ATL,W,1.3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,-2,2.0,0,0,2.0,1,1,1,1,66,52,62,1,1,1,1,37,49,37,61,58,66,29,29,35,60,1,1,54,53,34,66,12,1,66,1,1:18,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800028,2018-10-20T00:00:00,NYK vs. BOS,L,9.418333333333333,0,1,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,0,1,1,1,5,3.4,0,0,3.0,1,17,17,17,62,58,62,58,1,1,1,24,18,22,47,48,51,29,29,35,60,1,2,37,60,12,65,12,1,65,1,9:25,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800054,2018-10-24T00:00:00,NYK @ MIA,L,12.0,2,3,0.667,0,0,0.0,0,0,0.0,3,0,3,0,0,0,1,0,1,0,4,4,10.6,0,0,9.0,1,17,17,17,59,41,40,33,1,1,1,37,49,37,24,58,47,29,29,35,49,1,2,54,45,16,56,12,1,55,1,12:00,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800068,2018-10-26T00:00:00,NYK vs. GSW,L,29.416666666666668,3,5,0.6,0,0,0.0,1,2,0.5,4,2,6,0,1,2,0,1,2,1,7,-12,19.2,0,0,17.0,1,17,17,17,12,25,19,42,1,1,1,24,18,22,7,40,31,29,8,7,60,46,11,37,31,55,44,12,1,43,1,29:25,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800090,2018-10-29T00:00:00,NYK vs. BKN,W,15.116666666666667,5,5,1.0,0,0,0.0,1,2,0.5,2,1,3,1,0,1,1,0,3,1,11,6,22.1,0,0,19.0,1,1,1,1,49,9,19,1,1,1,1,24,18,22,35,48,47,6,29,13,49,1,22,37,16,11,39,12,1,35,1,15:07,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800105,2018-10-31T00:00:00,NYK vs. IND,L,17.683333333333334,0,3,0.0,0,0,0.0,0,0,0.0,1,3,4,0,1,0,2,1,1,0,0,4,9.8,0,0,8.0,1,17,17,17,40,58,40,58,1,1,1,37,49,37,47,32,43,29,8,35,31,46,2,54,61,16,57,12,1,58,1,17:41,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800121,2018-11-02T00:00:00,NYK @ DAL,W,34.016666666666666,5,6,0.833,0,0,0.0,3,4,0.75,5,5,10,3,0,3,1,0,5,3,13,9,41.5,1,0,34.0,1,1,1,1,4,9,12,18,1,1,1,8,8,16,4,17,10,2,29,1,49,1,52,8,10,3,8,1,1,8,1,34:01,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800135,2018-11-04T00:00:00,NYK @ WAS,L,26.3,3,6,0.5,0,0,0.0,4,4,1.0,4,2,6,0,0,0,1,1,4,3,10,-15,20.2,0,0,18.0,1,17,17,17,17,25,12,48,1,1,1,5,8,1,7,40,31,29,29,35,49,46,39,8,20,59,42,12,1,40,1,26:18,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800143,2018-11-05T00:00:00,NYK vs. CHI,L,11.073333333333334,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,1,4,0,0,-9,9.6,0,0,7.0,1,17,17,17,60,58,50,58,1,1,1,37,49,37,47,40,47,29,29,35,31,46,39,54,61,48,58,12,1,60,1,11:04,1,2018-19
2018-19,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,0021800155,2018-11-07T00:00:00,NYK @ ATL,W,14.885,2,2,1.0,0,0,0.0,1,2,0.5,3,3,6,0,1,1,2,0,2,1,5,3,20.2,0,0,17.0,1,1,1,1,51,41,50,1,1,1,1,24,18,22,24,32,31,29,8,13,31,1,11,37,42,19,42,12,1,43,1,14:53,1,2018-19
