SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700010,2017-10-18T00:00:00,UTA vs. DEN,W,35.016666666666666,7,9,0.778,0,0,0.0,4,4,1.0,3,7,10,1,6,0,1,0,4,2,18,-14,28.5,1,0,31.0,1,1,1,1,21,6,18,9,1,1,1,18,33,1,18,31,29,22,1,29,42,1,41,50,12,51,43,1,1,28,1,35:01,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700023,2017-10-20T00:00:00,UTA @ MIN,L,32.96666666666667,5,10,0.5,0,0,0.0,0,0,0.0,4,9,13,0,3,2,2,0,2,3,10,-15,34.6,1,0,31.0,1,38,38,38,29,24,11,39,1,1,1,48,51,48,10,15,13,45,10,4,23,1,12,41,40,52,29,1,1,28,1,32:58,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700036,2017-10-21T00:00:00,UTA vs. OKC,W,32.485,8,11,0.727,0,0,0.0,0,0,0.0,3,10,13,2,1,1,0,2,4,4,16,-2,36.6,1,0,33.0,1,1,1,1,32,4,6,15,1,1,1,48,51,48,18,10,13,11,31,14,50,44,41,31,17,39,22,1,1,22,1,32:29,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700054,2017-10-24T00:00:00,UTA @ LAC,L,31.283333333333335,5,5,1.0,0,0,0.0,2,3,0.667,2,5,7,2,1,0,3,0,1,3,12,-26,31.4,0,0,27.0,1,38,38,38,38,24,44,1,1,1,1,39,42,26,34,45,46,11,31,29,12,1,3,41,34,56,37,32,1,41,1,31:17,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700062,2017-10-25T00:00:00,UTA @ PHX,L,36.218333333333334,5,9,0.556,0,0,0.0,6,8,0.75,1,13,14,1,4,0,5,1,2,6,16,0,45.3,1,0,41.0,1,38,38,38,13,24,18,35,1,1,1,8,10,15,48,3,10,22,5,29,2,24,12,12,17,33,14,1,1,13,1,36:13,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700082,2017-10-28T00:00:00,UTA vs. LAL,W,35.45,3,5,0.6,0,0,0.0,0,2,0.0,3,5,8,0,1,0,3,0,3,5,6,22,23.6,0,0,20.0,1,1,1,1,18,41,44,29,1,1,1,48,44,48,18,45,43,45,31,29,12,1,25,22,47,8,50,32,1,52,1,35:27,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700098,2017-10-30T00:00:00,UTA vs. DAL,W,33.23833333333334,4,6,0.667,0,0,0.0,9,12,0.75,3,9,12,6,3,2,6,1,2,10,17,32,61.4,1,0,51.0,1,1,1,1,28,35,39,21,1,1,1,2,4,15,18,15,19,1,10,4,1,24,12,2,14,3,1,1,1,2,2,33:14,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700115,2017-11-01T00:00:00,UTA vs. POR,W,38.333333333333336,5,9,0.556,0,0,0.0,6,9,0.667,2,8,10,1,2,0,3,1,2,5,16,0,36.5,1,0,33.0,1,1,1,1,6,24,18,35,1,1,1,8,7,26,34,22,29,22,19,29,12,24,12,22,17,33,23,1,1,22,2,38:20,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700128,2017-11-03T00:00:00,UTA vs. TOR,L,34.583333333333336,6,10,0.6,0,0,0.0,3,4,0.75,4,3,7,0,1,0,2,2,2,7,15,-5,28.4,0,0,26.0,1,38,38,38,23,16,11,29,1,1,1,26,33,15,10,52,46,45,31,29,23,44,12,9,23,43,44,32,1,42,1,34:35,1,2017-18
2017-18,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,0021700140,2017-11-05T00:00:00,UTA @ HOU,L,25.25,6,11,0.545,0,0,0.0,1,1,1.0,2,3,5,1,0,0,0,3,2,3,13,-16,20.5,0,0,19.0,1,38,38,38,54,16,6,37,1,1,1,45,49,1,34,52,54,22,46,29,50,54,12,41,29,53,53,32,1,53,1,25:15,1,2017-18
