SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,SEASON
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100006,2021-10-20T00:00:00,TOR vs. WAS,L,32.53333333333333,5,13,0.385,0,1,0.0,2,3,0.667,3,6,9,1,6,1,0,2,5,3,12,-11,21.3,0,0,24.0,1,44,44,44,55,45,29,60,38,51,38,29,31,37,20,18,13,58,1,19,37,68,64,24,49,63,66,14,1,53,1,32:32,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100020,2021-10-22T00:00:00,TOR @ BOS,W,35.483333333333334,11,17,0.647,1,2,0.5,2,2,1.0,6,7,13,2,1,0,0,0,1,1,25,29,42.6,1,0,41.0,1,1,1,1,37,5,8,9,14,31,5,29,36,1,3,10,5,46,43,50,37,1,3,58,5,3,11,1,1,8,1,35:29,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100029,2021-10-23T00:00:00,TOR vs. DAL,L,29.558333333333334,6,12,0.5,0,2,0.0,5,7,0.714,4,4,8,2,0,0,0,1,5,6,17,7,29.6,0,0,27.0,1,44,44,44,68,33,40,34,38,31,38,9,5,35,13,39,24,46,62,50,37,45,64,6,28,20,47,14,1,47,1,29:34,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100046,2021-10-25T00:00:00,TOR vs. CHI,L,39.016666666666666,6,8,0.75,0,1,0.0,1,2,0.5,1,3,4,0,6,1,1,0,2,2,13,-10,17.8,0,0,21.0,1,44,44,44,18,33,67,3,38,51,38,44,36,43,54,52,63,70,1,19,14,1,23,38,43,59,71,14,1,64,1,39:01,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100058,2021-10-27T00:00:00,TOR vs. IND,W,36.12166666666667,8,17,0.471,0,0,0.0,2,2,1.0,3,4,7,7,2,0,2,0,3,2,18,6,40.9,0,0,36.0,1,1,1,1,35,11,8,40,38,65,38,29,36,1,20,39,35,3,21,50,4,1,41,38,24,24,13,14,1,18,1,36:07,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100071,2021-10-29T00:00:00,TOR vs. ORL,W,36.77,9,14,0.643,1,2,0.5,2,2,1.0,2,7,9,1,1,2,1,1,1,2,21,-13,41.3,0,0,38.0,1,1,1,1,32,7,20,10,14,31,5,29,36,1,33,10,13,58,43,8,14,45,3,38,9,65,12,14,1,12,1,36:46,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100081,2021-10-30T00:00:00,TOR @ IND,W,34.736666666666665,9,17,0.529,0,1,0.0,3,6,0.5,2,10,12,1,1,1,0,1,2,5,21,1,38.9,1,0,36.0,1,1,1,1,44,7,8,32,38,51,38,15,10,43,33,3,7,58,43,19,37,45,23,12,9,36,23,1,1,18,1,34:44,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100127,2021-11-05T00:00:00,TOR vs. CLE,L,38.35,7,19,0.368,0,0,0.0,0,0,0.0,6,3,9,4,0,1,2,0,1,3,14,5,39.8,0,0,33.0,1,44,44,44,22,20,4,62,38,65,38,53,54,53,3,52,13,22,62,19,4,1,3,24,42,27,15,14,1,32,1,38:21,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100139,2021-11-07T00:00:00,TOR vs. BKN,L,30.6,4,7,0.571,0,1,0.0,0,0,0.0,1,6,7,4,1,5,0,0,5,1,8,-7,36.4,0,0,29.0,1,44,44,44,64,54,69,16,38,51,38,53,54,53,54,18,35,22,43,1,37,1,64,58,65,49,32,14,1,42,1,30:36,1,2021-22
2021-22,1630567,Scottie Barnes,Scottie,1610612761,TOR,Toronto Raptors,0022100160,2021-11-10T00:00:00,TOR @ BOS,L,31.9,7,11,0.636,0,0,0.0,7,8,0.875,1,6,7,4,3,0,0,0,4,6,21,-5,32.4,0,0,32.0,1,44,44,44,58,20,46,11,38,65,38,1,2,18,54,18,35,22,8,50,37,1,53,6,9,45,40,14,1,33,1,31:54,1,2021-22
