SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,player_name,season,player_id,season_type
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500467,2025-12-31T00:00:00,NYK @ SAS,L,33.47,5,10,0.5,2,5,0.4,8,8,1.0,1,6,7,4,3,1,0,0,6,4,20,-15,34.4,0,0,35.0,1,22,22,22,13,21,28,9,10,13,13,7,11,1,26,26,29,5,8,8,15,1,30,19,17,31,22,23,1,20,1,33:28,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500454,2025-12-29T00:00:00,NYK @ NOP,W,29.971666666666668,4,9,0.444,2,4,0.5,2,2,1.0,2,10,12,4,0,0,2,3,4,1,12,6,38.4,1,0,34.0,1,1,1,1,26,27,29,17,10,18,5,27,27,1,19,7,13,5,29,19,1,28,14,30,27,14,18,1,1,22,1,29:58,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500435,2025-12-27T00:00:00,NYK @ ATL,W,29.8,8,15,0.533,3,6,0.5,17,18,0.944,5,10,15,1,2,0,0,2,3,9,36,-7,53.5,1,0,55.0,1,1,1,1,27,9,12,7,4,7,5,1,1,14,2,7,4,26,17,19,15,21,8,2,4,28,7,1,1,6,1,29:48,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500009,2025-12-25T00:00:00,NYK vs. CLE,W,27.385,5,13,0.385,0,2,0.0,1,2,0.5,2,12,14,1,2,2,0,0,4,4,11,7,33.3,1,0,30.0,1,1,1,1,30,21,19,24,27,26,27,29,27,29,19,3,7,26,17,2,15,1,14,19,28,12,25,1,1,28,1,27:23,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500416,2025-12-23T00:00:00,NYK @ MIN,L,34.51833333333333,14,24,0.583,3,6,0.5,9,11,0.818,4,9,13,1,5,1,0,0,6,5,40,6,55.1,1,0,59.0,1,22,22,22,11,1,2,5,4,7,5,4,3,22,7,12,9,26,1,8,15,1,30,14,1,14,6,1,1,4,1,34:31,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500398,2025-12-21T00:00:00,NYK vs. MIA,W,28.783333333333335,1,5,0.2,0,0,0.0,0,2,0.0,1,5,6,2,3,2,0,1,4,2,2,-1,15.2,0,0,14.0,1,1,1,1,28,31,31,30,27,31,27,31,27,31,26,29,31,18,8,2,15,11,14,27,31,26,31,23,1,31,1,28:47,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500382,2025-12-19T00:00:00,NYK vs. PHI,L,35.333333333333336,7,15,0.467,1,5,0.2,7,9,0.778,3,8,11,1,3,0,0,1,4,8,22,-7,33.7,1,0,35.0,1,22,22,22,9,11,12,12,17,13,22,11,6,25,12,17,18,26,8,19,15,11,14,3,12,28,24,1,1,20,1,35:20,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022501229,2025-12-13T00:00:00,NYK @ ORL,W,37.185,9,11,0.818,2,4,0.5,9,10,0.9,1,7,8,2,0,1,1,0,3,8,29,12,47.6,0,0,45.0,1,1,1,1,3,8,23,1,10,18,5,4,5,16,26,21,26,18,29,8,8,1,8,3,7,9,10,23,1,11,1,37:11,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022501202,2025-12-09T00:00:00,NYK @ TOR,W,30.798333333333332,4,11,0.364,1,2,0.5,5,6,0.833,5,11,16,1,1,1,2,2,4,3,14,21,42.7,1,0,38.0,1,1,1,1,24,27,23,28,17,26,5,18,19,20,2,5,3,26,24,8,1,21,14,24,26,2,14,1,1,17,1,30:48,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
2025-26,1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,New York Knicks,0022500343,2025-12-05T00:00:00,NYK vs. UTA,W,22.283333333333335,5,11,0.455,4,6,0.667,4,4,1.0,1,8,9,4,1,1,0,0,1,2,18,21,36.8,0,0,37.0,1,1,1,1,31,21,23,14,2,7,3,21,23,1,26,17,25,5,24,8,15,1,1,27,21,2,19,23,1,18,1,22:17,1,Karl-Anthony Towns,2025-26,1626157,Regular Season
